Company Name,Industry,Symbol,Series,ISIN Code,BSE_Ticker,Ticker
Easy Trip Planners Ltd.,Consumer Services,EASEMYTRIP,EQ,INE07O001018,543272,EASEMYTRIP.NS
Edelweiss Financial Services Ltd.,Financial Services,EDELWEISS,EQ,INE532F01054,532922,EDELWEISS.NS
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT,EQ,INE066A01021,505200,EICHERMOT.NS
Elgi Equipments Ltd.,Capital Goods,ELGIEQUIP,EQ,INE285A01027,522074,ELGIEQUIP.NS
Emami Ltd.,Fast Moving Consumer Goods,EMAMILTD,EQ,INE548C01032,531162,EMAMILTD.NS
Endurance Technologies Ltd.,Automobile and Auto Components,ENDURANCE,EQ,INE913H01037,540153,ENDURANCE.NS
Engineers India Ltd.,Construction,ENGINERSIN,EQ,INE510A01028,532178,ENGINERSIN.NS
Equitas Holdings Ltd.,Financial Services,EQUITAS,EQ,INE988K01017,539844,EQUITAS.NS
Equitas Small Finance Bank Ltd.,Financial Services,EQUITASBNK,EQ,INE063P01018,543243,EQUITASBNK.NS
Eris Lifesciences Ltd.,Healthcare,ERIS,EQ,INE406M01024,540596,ERIS.NS
Escorts Ltd.,Capital Goods,ESCORTS,EQ,INE042A01014,500495,ESCORTS.NS
Exide Industries Ltd.,Automobile and Auto Components,EXIDEIND,EQ,INE302A01020,500086,EXIDEIND.NS
FDC Ltd.,Healthcare,FDC,EQ,INE258B01022,531599,FDC.NS
FSN E-Commerce Ventures Ltd.,Consumer Services,NYKAA,EQ,INE388Y01029,543384,NYKAA.NS
Federal Bank Ltd.,Financial Services,FEDERALBNK,EQ,INE171A01029,500469,FEDERALBNK.NS
Fertilisers and Chemicals Travancore Ltd.,Chemicals,FACT,EQ,INE188A01015,590024,FACT.NS
Fine Organic Industries Ltd.,Chemicals,FINEORG,EQ,INE686Y01026,541557,FINEORG.NS
Finolex Cables Ltd.,Capital Goods,FINCABLES,EQ,INE235A01022,500144,FINCABLES.NS
Finolex Industries Ltd.,Capital Goods,FINPIPE,EQ,INE183A01024,500940,FINPIPE.NS
